,Electric Bike,TNC Availability,HRT Reliability,Post-Pandemic WFH,AV Operations
BRMPO_VA_ZV_Shr,0.008742368742419966,0.028283969998487025,0.924140240712724,0.012223966509576783,0.02660945403679219
BRMPO_VA_IV_Shr,0.033526743937901296,0.03700280105903007,0.8706749368376369,0.018207282874805702,0.0405882352906262
BRMPO_VA_SV_Shr,0.027418066930829536,0.07593226831534626,0.7864622240894746,0.050884354016843526,0.05930308664750607
BRMPO_Auto_Shr,0.15161839010901204,0.08773274983331251,0.1145143199461563,0.26168430508064944,0.38445023503086967
BRMPO_NM_Shr,0.15168112474359793,0.09356010112731766,0.05891036521910268,0.09829630510165584,0.5975521038083259
BRMPO_TRN_Shr,0.044179817057104366,0.10585876039497463,0.27379118489190163,0.4371288281474183,0.13904140950860108
BRMPO_SB_Shr,0.06503306418984448,0.04146198013948837,0.020556002341584594,0.49442896997682473,0.3785199833522579
BRMPO_hbw,0.02515317444695609,0.048107673743717196,0.28208648737498504,0.6144181965900315,0.0302344678443102
BRMPO_hbnw,0.01977718473998941,0.031778904417877236,0.8797988619672534,0.02359459520597035,0.04505045366890973
BRMPO_nhbw,0.027935654118315924,0.039765766954287365,0.24258475132345095,0.6588811500909918,0.030832677512954047
BRMPO_nhbnw,0.033353073554369644,0.05960431095096576,0.8360247923681717,0.029353592376051764,0.04166423075044112
BRMPO_HH_Trips,0.02224603688822933,0.044104214950770826,0.1990476954856233,0.6774171028537769,0.05718494982159971
BRMPO_Auto_Trips,0.031322107717314245,0.1397286928367914,0.062415788441856905,0.56082643513069,0.20570697587334755
BRMPO_DA_Trips,0.04019407335851972,0.05615097687036201,0.05766244331195431,0.6282007838902693,0.2177917225688946
BRMPO_SR_Trips,0.038132454574698486,0.5415306431950394,0.0371722325418902,0.18715693390414564,0.19600773578422637
BRMPO_MTRK_Trips,0.17457542457542452,0.0705128205128205,0.2986180486180486,0.2721445221445221,0.18414918414918413
BRMPO_HTRK_Trips,0.2814814814814815,0.30518518518518517,0.18333333333333332,0.06666666666666667,0.16333333333333336
BRMPO_Freeway_VMT,0.02152206901374879,0.06759655042025911,0.028731561259542765,0.21376881507744191,0.6683810042290074
BRMPO_Expressway_VMT,0.04695220060196305,0.06650788627528814,0.04678950483380929,0.12003810455907389,0.7197123037298657
BRMPO_Mj_Arterial_VMT,0.02172166760624757,0.07559469462947896,0.042968373900479334,0.4941093975432552,0.365605866320539
BRMPO_Total_VMT,0.03674102204157197,0.04351470009696658,0.013179498778009472,0.29973531220365174,0.6068294668798003
BRMPO_Auto_VMT,0.035351427822171565,0.05389342025962916,0.03175196116191742,0.30288330112217116,0.5761198896341108
